,RunningBack,Expected Touchdowns,Actual Touchdowns,Regression Score
0,Ja.Williams,18.38287891182462,17.0,1.3828789118246192
2,E.Elliott,11.949136510586344,12.0,-0.05086348941365593
3,J.Mixon,11.718722779975185,8.0,3.7187227799751845
4,C.McCaffrey,11.122189440283769,10.0,1.122189440283769
5,D.Cook,10.14834366719312,8.0,2.148343667193121
6,J.Jacobs,9.859749269708873,12.0,-2.140250730291127
7,T.Etienne,9.834951187030109,6.0,3.834951187030109
8,M.Sanders,9.712883877905009,13.0,-3.287116122094991
9,S.Barkley,9.358455905232255,12.0,-2.6415440947677453
10,D.Henry,9.301474525287164,13.0,-3.698525474712836
11,A.Ekeler,8.964395300173605,15.0,-6.035604699826395
12,N.Chubb,8.666471450390578,12.0,-3.3335285496094222
13,N.Harris,8.3594694027456,7.0,1.3594694027455994
15,K.Walker,7.94778601872412,10.0,-2.05221398127588
16,D.Singletary,7.089044593031054,5.0,2.089044593031054
17,A.Dillon,7.08837976957765,7.0,0.08837976957765026
18,R.Stevenson,7.037268811600201,5.0,2.0372688116002013
19,T.Allgeier,7.020993786161211,3.0,4.020993786161211
20,L.Fournette,6.703239219314452,3.0,3.703239219314452
21,J.Wilson,6.591163821113268,6.0,0.5911638211132679
22,D.Foreman,6.556889899717963,5.0,1.5568898997179632
23,A.Gibson,6.497444940762275,3.0,3.497444940762275
24,D.Pierce,6.300146930057929,4.0,2.300146930057929
26,I.Pacheco,6.047552144123292,5.0,1.0475521441232916
28,J.Taylor,5.875712084371389,4.0,1.875712084371389
30,C.Akers,5.719702467101594,7.0,-1.2802975328984063
31,B.Robinson,5.714505203609704,2.0,3.714505203609704
32,T.Pollard,5.491009533853759,9.0,-3.5089904661462414
33,C.Patterson,5.015688893208131,8.0,-2.9843111067918686
34,J.Conner,4.919562610003717,7.0,-2.080437389996283
35,D.Montgomery,4.857407237041846,5.0,-0.14259276295815404
36,K.Gainwell,4.734960649514183,5.0,-0.26503935048581706
38,L.Murray,4.711653997650806,6.0,-1.2883460023491944
39,K.Hunt,4.289095069469804,3.0,1.2890950694698038
40,M.Gordon,4.288257116077137,2.0,2.288257116077137
41,D.Swift,4.242659163151512,5.0,-0.7573408368484884
42,K.Herbert,4.232592270964405,4.0,0.23259227096440505
43,J.McKinnon,3.944843889167661,1.0,2.944843889167661
44,B.Scott,3.7579204105121953,5.0,-1.2420795894878047
46,G.Edwards,3.642546320031775,3.0,0.6425463200317751
47,A.Kamara,3.639935984740104,2.0,1.639935984740104
48,R.Mostert,3.568000268823079,3.0,0.568000268823079
50,A.Jones,3.446245621950208,2.0,1.446245621950208
53,A.Mattison,3.35937440662761,5.0,-1.64062559337239
54,Br.Hall,3.3064440798975316,4.0,-0.6935559201024684
55,Mi.Carter,3.2498926488983537,3.0,0.24989264889835372
57,J.Robinson,3.140034170049055,3.0,0.14003417004905483
59,E.Mitchell,3.043961761063459,2.0,1.0439617610634588
60,R.White,2.9860226763836923,1.0,1.9860226763836923
61,S.Perine,2.9797656657764313,3.0,-0.020234334223568684
62,K.Drake,2.889647073646234,4.0,-1.110352926353766
65,J.Kelley,2.782087745869699,2.0,0.7820877458696991
66,Z.Moss,2.743982805519751,1.0,1.7439828055197508
67,J.Dobbins,2.6926479279817284,2.0,0.6926479279817284
68,C.Edwards-Helaire,2.508841135141065,3.0,-0.4911588648589351
69,E.Benjamin,2.4634124518241025,2.0,0.4634124518241025
